Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
5740.4,-28.163199977031,-58.38235478366028
5752.35,-28.14695797955486,-60.66490847693196
5764.3,-28.20348464041248,-64.01645513393777
5776.25,-28.24894249002623,-66.63046894707612
5788.2,-28.15826108484698,-69.57837829604861
5800.15,-28.09569255117549,-71.65693946475587
5812.1,-28.17035347377283,-74.87352710992241
5824.05,-28.17506647939561,-77.19179382423809
5836,-28.30039690955574,-80.45627414713491
5847.95,-28.27111644559535,-83.29921826208232
5859.9,-28.21601659619174,-85.69634108358945
5871.85,-28.34182698246145,-88.61429885697544
5883.8,-28.26109098006593,-91.00766194273777
5895.75,-28.28619013722973,-94.07365965564892
5907.7,-28.31874389741512,-96.81498591862213
5919.65,-28.45937347206916,-99.34648762758167
5931.6,-28.36650355643594,-102.0849062549841
5943.55,-28.44076884034871,-105.2750447212093
5955.5,-28.4285554219014,-107.4045193138215
5967.45,-28.44131803898316,-110.4016542054971
5979.4,-28.50758733459146,-112.8052822080385
5991.35,-28.47931935025739,-116.1308551591426
6003.3,-28.54312775875353,-118.509848807534
6015.25,-28.56537238470802,-121.8706405848187
6027.2,-28.75270856282508,-124.1898545162241
6039.15,-28.79118785804082,-127.0210626576795
6051.1,-28.77775678520096,-129.6959911135251
6063.05,-28.85283750581963,-132.5586834503341
6075,-28.95955619359857,-135.4705290622865
6086.95,-28.99382448903944,-138.4260251852372
6098.9,-29.115181749084,-140.9227021161161
6110.85,-29.14078489950176,-143.5766086157905
6122.8,-29.20042339954099,-146.3764651898315
6134.75,-29.27556519000778,-149.3335821207718
6146.7,-29.33235012075291,-151.8540885600714
6158.65,-29.41430630201227,-154.2542709863484
6170.6,-29.53244251435672,-157.7655026372343
6182.55,-29.64863417155641,-160.4527858745127
6194.5,-29.7217138090075,-163.026872153812
6206.45,-29.74503399245844,-165.9437532258626
6218.4,-29.97058913389539,-168.6299667428219
6230.35,-30.06677776378078,-171.3259724819981
6242.3,-30.13111930209649,-174.5952900440268
6254.25,-30.31397676036237,-177.0873790304511
6266.2,-30.35643481080321,-179.4133467426343
6278.15,-30.54074102932074,177.5769272388163
6290.1,-30.5256064542704,174.9256443941362
6302.05,-30.73334340775538,172.7145052319169
6314,-30.98370206631359,169.7591036941765
6325.95,-31.03142194741011,166.6760891885616
6337.9,-31.19457052753482,163.7778855876583
6349.85,-31.29773905877933,161.3927906454979
6361.8,-31.56896631938193,158.434423474336
6373.75,-31.68359251691524,155.5874297225591
6385.7,-31.95777171932486,152.8297737629502
6397.65,-32.22297290733233,150.448857620955
6409.6,-32.30281975592492,147.0309442480315
6421.55,-32.41704847962382,144.3744371391936
6433.5,-32.71877887727226,141.1524864346653
6445.45,-32.99429017041887,139.0669357491875
6457.4,-33.25292789610863,135.44673176563
6469.35,-33.48351870753497,133.2369839540925
6481.3,-33.87691940535092,130.7313147446747
6493.25,-34.11601294129132,127.5903008913878
6505.2,-34.33518068029856,125.2887602480489
6517.15,-34.62287902235866,121.2923426645619
6529.1,-35.24188469134201,119.4399358635488
6541.05,-35.33219538596482,116.8547329293998
6553,-35.7560529579482,112.67682738852
6564.95,-36.17003612985399,111.2954908329728
6576.9,-36.61654624686015,107.2613242417303
6588.85,-36.93244554813772,104.7476158932042
6600.8,-37.46622861112155,102.1402431497302
6612.75,-37.69668469415478,100.3619837087475
6624.7,-38.30721231734597,94.29084091229211
6636.65,-39.32241688205692,90.9591996236534
6648.6,-39.93093611069902,89.51807939958793
6660.55,-40.48111000845238,87.6158164659055
6672.5,-41.60379695433601,82.55675010764556
6684.45,-42.17260297204314,82.08496750756271
6696.4,-43.25670165677035,79.45232422860244
6708.35,-43.98420698683609,75.60929699661027
6720.3,-45.16930606958901,68.19651662322462
6732.25,-46.81941700362533,66.42528403635669
6744.2,-49.40144972125885,58.02998153598986
6756.15,-52.74405690265264,46.20990987760349
6768.1,-57.41422103144438,32.21109886191448
6780.05,-62.83642620211133,-5.520638383167295
6792,-62.13555279510763,-79.77630327822501
6803.95,-56.50291712187582,-97.4215251742143
6815.9,-53.29677669415661,-102.6214734536531
6827.85,-49.66383718047024,-115.2422135886799
6839.8,-47.12622595904732,-118.4027972167128
6851.75,-45.46904829207517,-131.1978134765762
6863.7,-43.98499286031749,-130.4340844705635
6875.65,-42.28320805316179,-133.6534402360617
6887.6,-41.54155141914267,-137.4454000141919
6899.55,-40.30687348932151,-141.2854905793091
6911.5,-39.43137923722406,-143.2573287821642
6923.45,-38.38104978062117,-147.0783226345851
6935.4,-37.82888750201689,-149.0081705174244
6947.35,-36.97696910957067,-151.2241148810457
6959.3,-36.5292466215378,-155.299142028029
6971.25,-35.79694902935137,-159.0975966577163
6983.2,-35.25042071946518,-162.0093071782347
6995.15,-34.68485743944996,-164.1994254308251
7007.1,-34.13778342163268,-166.3753282650875
7019.05,-33.62141577077481,-169.0214264703527
7031,-33.11397216190146,-172.5055442240473
7042.95,-32.48148938873261,-175.1853401040225
7054.9,-32.11840698318343,-177.4848255934625
7066.85,-31.8011940113563,178.9365278479344
7078.8,-31.38918046028255,175.7522226748266
7090.75,-31.06687135194201,173.0034029921011
7102.7,-30.74337220736471,169.8874047866013
7114.65,-30.42457387905205,168.2054987753216
7126.6,-30.0229335193238,166.0570061947816
7138.55,-29.56751104320633,161.8949212743688
7150.5,-29.25615186547545,159.266908076925
7162.45,-28.84708272888235,156.9260243748381
7174.4,-28.66662811598268,153.7875565782557
7186.35,-28.31878077723271,151.3916043122305
7198.3,-28.09674319430499,148.1373295665938
7210.25,-27.7636833409779,145.8053524864604
7222.2,-27.49140921064031,142.990740582278
7234.15,-27.24615069757473,139.9100232856883
7246.1,-26.98696435407719,137.2374013227139
7258.05,-26.61997736474797,134.3588791798349
7270,-26.39999028182579,131.6222398983304
7281.95,-26.16054144435141,128.9738228651595
7293.9,-25.84422955602532,126.7646730483179
7305.85,-25.70557260613303,123.4456437687084
7317.8,-25.47956401792871,120.5111952215498
7329.75,-25.20454384175519,118.0911245487809
7341.7,-24.94936607218851,115.274583196224
7353.65,-24.78096871390163,112.4553602932054
7365.6,-24.46839663493002,109.7513329866036
7377.55,-24.30241366582497,107.1921659427212
7389.5,-24.09652347274496,103.9965706534066
7401.45,-23.90945696675014,101.781449176883
7413.4,-23.72106682022997,99.11591039357859
7425.35,-23.52776387663808,95.93758338307327
7437.3,-23.29206552909643,93.14691908837017
7449.25,-23.08466487388325,90.42177586027894
7461.2,-22.91542791293836,87.42717431811712
7473.15,-22.75057468018577,84.69161014190934
7485.1,-22.55229847770831,82.04150498375913
7497.05,-22.37603440182959,79.37155698187598
7509,-22.20084669734053,76.42785606458577
7520.95,-22.0138820223421,73.90620078622771
7532.9,-21.84089798153483,71.04478852402565
7544.85,-21.69006424256181,68.5706395203741
